0:ACCEPT
1:ACCEPT
2:ACCEPT
3:REJECT: duplicate of existing training data
4:ACCEPT
5:ACCEPT
6:REJECT: answer too long (4 sentences)
7:ACCEPT
8:ACCEPT
9:ACCEPT
10:ACCEPT
11:ACCEPT
12:ACCEPT
13:ACCEPT
14:ACCEPT
15:ACCEPT
16:ACCEPT
17:ACCEPT
18:ACCEPT
19:REJECT: answer too long (4 sentences)
20:ACCEPT
21:ACCEPT
22:ACCEPT
23:ACCEPT
24:REJECT: answer too long (4 sentences)
25:ACCEPT
26:REJECT: answer too long (4 sentences)
27:REJECT: answer too long (4 sentences)
28:ACCEPT
29:ACCEPT
30:ACCEPT
31:ACCEPT
32:ACCEPT
33:ACCEPT
34:REJECT: answer too long (4 sentences); answer too long (4 sentences)
35:REJECT: missing colon; missing 1 Joe answer(s)
36:ACCEPT
37:ACCEPT
38:ACCEPT
39:ACCEPT
40:ACCEPT
41:ACCEPT
42:ACCEPT
43:REJECT: answer too long (4 sentences)
44:ACCEPT
45:ACCEPT
46:ACCEPT
47:ACCEPT
48:ACCEPT
49:ACCEPT
50:ACCEPT
51:ACCEPT
52:ACCEPT
53:REJECT: answer too long (5 sentences)
54:ACCEPT
55:ACCEPT
56:REJECT: single turn, not multi-turn
57:REJECT: single turn, not multi-turn
58:REJECT: single turn, not multi-turn
59:REJECT: single turn, not multi-turn
60:REJECT: single turn, not multi-turn
61:REJECT: single turn, not multi-turn
62:REJECT: single turn, not multi-turn
63:REJECT: single turn, not multi-turn
64:REJECT: single turn, not multi-turn
65:REJECT: single turn, not multi-turn
66:REJECT: single turn, not multi-turn
67:REJECT: single turn, not multi-turn
68:REJECT: single turn, not multi-turn
69:REJECT: single turn, not multi-turn
70:REJECT: single turn, not multi-turn
71:REJECT: single turn, not multi-turn
72:REJECT: single turn, not multi-turn
73:REJECT: single turn, not multi-turn
74:REJECT: single turn, not multi-turn
75:REJECT: single turn, not multi-turn
76:REJECT: single turn, not multi-turn
77:REJECT: single turn, not multi-turn
78:REJECT: single turn, not multi-turn
79:REJECT: single turn, not multi-turn
80:REJECT: single turn, not multi-turn
81:REJECT: single turn, not multi-turn
82:REJECT: single turn, not multi-turn
83:REJECT: single turn, not multi-turn
84:REJECT: single turn, not multi-turn
85:REJECT: single turn, not multi-turn
86:REJECT: single turn, not multi-turn
87:REJECT: single turn, not multi-turn
88:REJECT: single turn, not multi-turn
89:REJECT: single turn, not multi-turn
90:REJECT: single turn, not multi-turn
91:REJECT: single turn, not multi-turn
92:REJECT: single turn, not multi-turn
93:REJECT: single turn, not multi-turn
94:REJECT: single turn, not multi-turn
95:REJECT: single turn, not multi-turn
96:REJECT: single turn, not multi-turn
97:REJECT: single turn, not multi-turn
98:REJECT: single turn, not multi-turn
99:REJECT: single turn, not multi-turn
100:REJECT: single turn, not multi-turn
101:REJECT: single turn, not multi-turn
102:REJECT: single turn, not multi-turn
103:REJECT: single turn, not multi-turn
104:REJECT: single turn, not multi-turn
105:REJECT: single turn, not multi-turn
106:REJECT: single turn, not multi-turn
107:REJECT: single turn, not multi-turn
108:REJECT: single turn, not multi-turn
109:REJECT: single turn, not multi-turn
110:REJECT: single turn, not multi-turn
111:REJECT: single turn, not multi-turn
112:REJECT: single turn, not multi-turn
113:REJECT: single turn, not multi-turn
114:REJECT: single turn, not multi-turn
115:REJECT: single turn, not multi-turn
116:REJECT: single turn, not multi-turn
117:REJECT: single turn, not multi-turn
118:REJECT: single turn, not multi-turn
119:REJECT: single turn, not multi-turn
120:REJECT: single turn, not multi-turn
121:REJECT: single turn, not multi-turn
122:REJECT: single turn, not multi-turn
123:REJECT: single turn, not multi-turn
124:REJECT: single turn, not multi-turn
125:REJECT: single turn, not multi-turn
126:REJECT: follow-up doesn't reference prior answer (topic switch from eye caps to UVB)
127:REJECT: single turn, not multi-turn
128:REJECT: single turn, not multi-turn
